en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
Safety Data Sheet according to Regulation (EC) No. 1907/2006 (REACH);Информационен лист за безопасност съгласно Регламент (ЕО) № 1907/2006 (REACH);Bezpečnostní list podle nařízení (ES) č. 1907/2006 (REACH);Sikkerhedsdatablad i henhold til forordning (EF) nr. 1907/2006 (REACH);Sicherheitsdatenblatt gemäß Verordnung (EG) Nr. 1907/2006 (REACH);Δελτίο Δεδομένων Ασφαλείας σύμφωνα με τον Κανονισμό (ΕΚ) αριθ. 1907/2006 (REACH);Ficha de datos de seguridad conforme al Reglamento (CE) n.º 1907/2006 (REACH);Ohutuskaart vastavalt määrusele (EÜ) nr 1907/2006 (REACH);Käyttöturvallisuustiedote asetuksen (EY) N:o 1907/2006 (REACH) mukaisesti;Fiche de données de sécurité conformément au règlement (CE) n° 1907/2006 (REACH);Sigurnosno-tehnički list prema Uredbi (EZ) br. 1907/2006 (REACH);Biztonsági adatlap a 1907/2006/EK rendelet (REACH) szerint;Scheda di dati di sicurezza secondo il Regolamento (CE) n. 1907/2006 (REACH);Saugos duomenų lapas pagal Reglamentą (EB) Nr. 1907/2006 (REACH);Drošības datu lapa saskaņā ar Regulu (EK) Nr. 1907/2006 (REACH);Skeda ta' Dejta tas-Sigurtà skont ir-Regolament (KE) Nru 1907/2006 (REACH);Veiligheidsinformatieblad volgens Verordening (EG) nr. 1907/2006 (REACH);Karta charakterystyki zgodnie z rozporządzeniem (WE) nr 1907/2006 (REACH);Ficha de Dados de Segurança de acordo com o Regulamento (CE) n.º 1907/2006 (REACH);Fisa de date de securitate conform Regulamentului (CE) nr. 1907/2006 (REACH);Karta bezpečnostných údajov podľa nariadenia (ES) č. 1907/2006 (REACH);Varnostni list v skladu z Uredbo (ES) št. 1907/2006 (REACH);Säkerhetsdatablad enligt förordning (EG) nr 1907/2006 (REACH);Sikkerhetsdatablad i henhold til forordning (EF) nr. 1907/2006 (REACH);Öryggisblöð samkvæmt reglugerð (EB) nr. 1907/2006 (REACH)
Safety Data Sheet;Информационен лист за безопасност;Bezpečnostní list;Sikkerhedsdatablad;Sicherheitsdatenblatt;Δελτίο Δεδομένων Ασφαλείας;Ficha de datos de seguridad;Ohutuskaart;Käyttöturvallisuustiedote;Fiche de données de sécurité;Sigurnosno-tehnički list;Biztonsági adatlap;Scheda di dati di sicurezza;Saugos duomenų lapas;Drošības datu lapa;Skeda ta' Dejta tas-Sigurtà;Veiligheidsinformatieblad;Karta charakterystyki;Ficha de Dados de Segurança;Fisa de date de securitate;Karta bezpečnostných údajov;Varnostni list;Säkerhetsdatablad;Sikkerhetsdatablad;Öryggisblöð
according to Regulation (EC) No. 1907/2006 (REACH);съгласно Регламент (ЕО) № 1907/2006 (REACH);podle nařízení (ES) č. 1907/2006 (REACH);i henhold til forordning (EF) nr. 1907/2006 (REACH);gemäß Verordnung (EG) Nr. 1907/2006 (REACH);σύμφωνα με τον Κανονισμό (ΕΚ) αριθ. 1907/2006 (REACH);conforme al Reglamento (CE) n.º 1907/2006 (REACH);vastavalt määrusele (EÜ) nr 1907/2006 (REACH);asetuksen (EY) N:o 1907/2006 (REACH) mukaisesti;conformément au règlement (CE) n° 1907/2006 (REACH);prema Uredbi (EZ) br. 1907/2006 (REACH);a 1907/2006/EK rendelet (REACH) szerint;secondo il Regolamento (CE) n. 1907/2006 (REACH);pagal Reglamentą (EB) Nr. 1907/2006 (REACH);saskaņā ar Regulu (EK) Nr. 1907/2006 (REACH);skont ir-Regolament (KE) Nru 1907/2006 (REACH);volgens Verordening (EG) nr. 1907/2006 (REACH);zgodnie z rozporządzeniem (WE) nr 1907/2006 (REACH);de acordo com o Regulamento (CE) n.º 1907/2006 (REACH);conform Regulamentului (CE) nr. 1907/2006 (REACH);podľa nariadenia (ES) č. 1907/2006 (REACH);v skladu z Uredbo (ES) št. 1907/2006 (REACH);enligt förordning (EG) nr 1907/2006 (REACH);i henhold til forordning (EF) nr. 1907/2006 (REACH);samkvæmt reglugerð (EB) nr. 1907/2006 (REACH)
Switzerland;Швейцария;Švýcarsko;Schweiz;Schweiz;Ελβετία;Suiza;Šveits;Sveitsi;Suisse;Švicarska;Svájc;Svizzera;Šveicarija;Šveice;Svizzera;Zwitserland;Szwajcaria;Suíça;Elveția;Švajčiarsko;Švica;Schweiz;Sveits;Sviss
Product identifier;Идентификатор на продукта;Identifikátor produktu;Produktidentifikator;Produktidentifikator;Αναγνωριστικό προϊόντος;Identificador del producto;Toote identifikaator;Tuotetunniste;Identificateur de produit;Identifikator proizvoda;Termékazonosító;Identificatore del prodotto;Produkto identifikatorius;Produkta identifikators;Identifikatur tal-prodott;Productidentificatie;Identyfikator produktu;Identificador do produto;Identificator de produs;Identifikátor produktu;Identifikator proizvoda;Produktidentifierare;Produktidentifikator;Vörukenni
Substances;Вещества;Látky;Stoffer;Stoffe;Ουσίες;Sustancias;Ained;Aineet;Substances;Tvari;Anyagok;Sostanze;Medžiagos;Vielas;Sustanzi;Stoffen;Substancje;Substâncias;Substanțe;Látky;Snovi;Ämnen;Stoffer;Efni
Substance name;Наименование на веществото;Název látky;Stofnavn;Stoffname;Όνομα ουσίας;Nombre de la sustancia;Aine nimetus;Aineen nimi;Nom de la substance;Naziv tvari;Anyag neve;Nome della sostanza;Medžiagos pavadinimas;Vielas nosaukums;Isem tas-sustanza;Stofnaam;Nazwa substancji;Nome da substância;Denumirea substanței;Názov látky;Ime snovi;Ämnesnamn;Stoffnavn;Efnaheiti
IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;UICPA;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC;IUPAC
INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI;INCI
Generic name;Общо наименование;Obecný název;Generisk navn;Gattungsname;Γενικό όνομα;Nombre genérico;Üldnimetus;Yleisnimi;Nom générique;Generički naziv;Általános név;Nome generico;Bendrinis pavadinimas;Vispārīgais nosaukums;Isem ġeneriku;Generieke naam;Nazwa ogólna;Nome genérico;Denumire generică;Generický názov;Generično ime;Generiskt namn;Generisk navn;Almennt heiti
