Category;Code;DE_Original;EN_Original
Identical DE/EN;01.01.01.01.01.01.;IUPAC;IUPAC
Extreme Length Difference;01.01.01.03.01.01.02.01.05.;care and maintenance products (excludes biocidal products);Cleaning
Extreme Length Difference;01.01.01.03.01.01.02.01.05.1017.1006;rim and other metal cleaners - all vehicle types;Chromium
Extreme Length Difference;01.01.01.03.01.01.02.02.01.1002;Desinfektionsmittel;Disinfectants and algaecides not intended for direct application to humans or animals
Identical DE/EN;01.01.01.03.05.;Nanoform;Nanoform
Extreme Length Difference;01.01.01.03.06.1000;Article 59 (REACH).;This substance has been listed as SVHC (substance of very high concern) in the Candidate List according to Regulation (EC) No 1907/2006
Identical DE/EN;01.01.02.02.00.1089;Pigment;Pigment
Identical DE/EN;01.02.01.01.00.01.01.01.1000;Unst. Expl.;Unst. Expl.
Identical DE/EN;01.02.01.01.00.01.01.01.2000;Expl. 1.1;Expl. 1.1
Identical DE/EN;01.02.01.01.00.01.01.01.3000;Expl. 1.2;Expl. 1.2
Identical DE/EN;01.02.01.01.00.01.01.01.4000;Expl. 1.3;Expl. 1.3
Identical DE/EN;01.02.01.01.00.01.01.01.5000;Expl. 1.4;Expl. 1.4
Identical DE/EN;01.02.01.01.00.01.01.01.6000;Expl. 1.5;Expl. 1.5
Identical DE/EN;01.02.01.01.00.01.01.01.7000;Expl. 1.6;Expl. 1.6
Identical DE/EN;01.02.01.01.00.01.01.02.1000;Flam. Gas 1A;Flam. Gas 1A
Identical DE/EN;01.02.01.01.00.01.01.02.2000;Flam. Gas 1B;Flam. Gas 1B
Identical DE/EN;01.02.01.01.00.01.01.02.3000;Flam. Gas 2;Flam. Gas 2
Identical DE/EN;01.02.01.01.00.01.01.02.5000;Chem. Unst. Gas A;Chem. Unst. Gas A
Identical DE/EN;01.02.01.01.00.01.01.02.6000;Chem. Unst. Gas B;Chem. Unst. Gas B
Identical DE/EN;01.02.01.01.00.01.01.03.1000;Aerosol 1;Aerosol 1
Identical DE/EN;01.02.01.01.00.01.01.03.2000;Aerosol 2;Aerosol 2
Identical DE/EN;01.02.01.01.00.01.01.03.3000;Aerosol 3;Aerosol 3
Identical DE/EN;01.02.01.01.00.01.01.04.1000;Ox. Gas 1;Ox. Gas 1
Identical DE/EN;01.02.01.01.00.01.01.05.1000;Press. Gas.;Press. Gas.
Identical DE/EN;01.02.01.01.00.01.01.05.2000;Press. Gas (Comp.);Press. Gas (Comp.)
Identical DE/EN;01.02.01.01.00.01.01.05.3000;Press. Gas (Liq.);Press. Gas (Liq.)
Identical DE/EN;01.02.01.01.00.01.01.05.4000;Press. Gas (Ref. Liq.);Press. Gas (Ref. Liq.)
Identical DE/EN;01.02.01.01.00.01.01.05.5000;Press. Gas (Diss.);Press. Gas (Diss.)
Identical DE/EN;01.02.01.01.00.01.01.05.5001.1000;Compr. Gas;Compr. Gas
Identical DE/EN;01.02.01.01.00.01.01.05.5001.2000;Liquef. Gas;Liquef. Gas
Identical DE/EN;01.02.01.01.00.01.01.05.5001.3000;Refr. Liquef. Gas;Refr. Liquef. Gas
Identical DE/EN;01.02.01.01.00.01.01.05.5001.4000;Diss. Gas;Diss. Gas
Identical DE/EN;01.02.01.01.00.01.01.07.1000;Flam. Sol. 1;Flam. Sol. 1
Identical DE/EN;01.02.01.01.00.01.01.07.2000;Flam. Sol. 2;Flam. Sol. 2
Extreme Length Difference;01.02.01.01.00.01.01.08.;Type G;Self-reactive substances and mixtures
Identical DE/EN;01.02.01.01.00.01.01.08.1000;Self-react. A;Self-react. A
Identical DE/EN;01.02.01.01.00.01.01.08.2000;Self-react. B;Self-react. B
Identical DE/EN;01.02.01.01.00.01.01.08.3000;Self-react. C;Self-react. C
Identical DE/EN;01.02.01.01.00.01.01.08.4000;Self-react. D;Self-react. D
Identical DE/EN;01.02.01.01.00.01.01.08.5000;Self-react. CD;Self-react. CD
Identical DE/EN;01.02.01.01.00.01.01.08.6000;Self-react. E;Self-react. E
Identical DE/EN;01.02.01.01.00.01.01.08.7000;Self-react. EF;Self-react. EF
Identical DE/EN;01.02.01.01.00.01.01.08.8000;Self-react. F;Self-react. F
Identical DE/EN;01.02.01.01.00.01.01.08.9000;Self-react. G;Self-react. G
Identical DE/EN;01.02.01.01.00.01.01.09.1000;Pyr. Liq. 1;Pyr. Liq. 1
Identical DE/EN;01.02.01.01.00.01.01.10.1000;Pyr. Sol. 1;Pyr. Sol. 1
